Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H5CH2-1+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           37.7    7.10999e+19    6.60099e+14    5.37474e+16
           37.8    7.45538e+19    6.61259e+14    5.36562e+16
           37.9    7.81699e+19    6.62417e+14    5.35651e+16
             38    8.19554e+19    6.63571e+14    5.34742e+16
           38.1    8.59182e+19    6.64722e+14    5.33835e+16
           38.2    9.00661e+19     6.6587e+14     5.3293e+16
           38.3    9.44076e+19    6.67015e+14    5.32026e+16
           38.4    9.89513e+19    6.68157e+14    5.31124e+16
           38.5    1.03706e+20    6.69296e+14    5.30223e+16
           38.6    1.08682e+20    6.70431e+14    5.29325e+16
           38.7    1.13889e+20    6.71564e+14    5.28428e+16
           38.8    1.19337e+20    6.72693e+14    5.27532e+16
           38.9    1.25037e+20    6.73819e+14    5.26639e+16
             39       1.31e+20    6.74942e+14    5.25747e+16
           39.1    1.37238e+20    6.76062e+14    5.24857e+16
           39.2    1.43763e+20    6.77179e+14    5.23968e+16
           39.3    1.50588e+20    6.78293e+14    5.23081e+16
           39.4    1.57726e+20    6.79404e+14    5.22196e+16
           39.5    1.65192e+20    6.80511e+14    5.21313e+16
           39.6    1.72999e+20    6.81616e+14    5.20431e+16
           39.7    1.81163e+20    6.82718e+14    5.19551e+16
           39.8    1.89699e+20    6.83817e+14    5.18673e+16
           39.9    1.98624e+20    6.84912e+14    5.17796e+16
             40    2.07955e+20    6.86005e+14    5.16921e+16
           40.1    2.17711e+20    6.87095e+14    5.16048e+16
           40.2    2.27908e+20    6.88181e+14    5.15176e+16
           40.3    2.38568e+20    6.89265e+14    5.14307e+16
           40.4    2.49709e+20    6.90346e+14    5.13438e+16
           40.5    2.61354e+20    6.91424e+14    5.12572e+16
           40.6    2.73524e+20    6.92499e+14    5.11707e+16
           40.7    2.86242e+20    6.93571e+14    5.10844e+16
           40.8    2.99532e+20     6.9464e+14    5.09983e+16
           40.9    3.13419e+20    6.95706e+14    5.09123e+16
             41    3.27928e+20    6.96769e+14    5.08265e+16
           41.1    3.43087e+20    6.97829e+14    5.07409e+16
           41.2    3.58924e+20    6.98887e+14    5.06555e+16
           41.3    3.75468e+20    6.99941e+14    5.05702e+16
           41.4    3.92749e+20    7.00993e+14    5.04851e+16
           41.5      4.108e+20    7.02042e+14    5.04001e+16
           41.6    4.29653e+20    7.03087e+14    5.03153e+16
           41.7    4.49343e+20     7.0413e+14    5.02307e+16
           41.8    4.69906e+20    7.05171e+14    5.01463e+16
           41.9    4.91379e+20    7.06208e+14     5.0062e+16
             42    5.13802e+20    7.07243e+14    4.99779e+16
           42.1    5.37214e+20    7.08274e+14     4.9894e+16
           42.2    5.61658e+20    7.09303e+14    4.98102e+16
           42.3    5.87179e+20    7.10329e+14    4.97266e+16
           42.4    6.13821e+20    7.11353e+14    4.96432e+16
           42.5    6.41633e+20    7.12373e+14    4.95599e+16
           42.6    6.70663e+20    7.13391e+14    4.94768e+16
           42.7    7.00965e+20    7.14406e+14    4.93939e+16
           42.8    7.32591e+20    7.15418e+14    4.93111e+16
           42.9    7.65598e+20    7.16428e+14    4.92285e+16
             43    8.00044e+20    7.17434e+14    4.91461e+16
           43.1    8.35989e+20    7.18438e+14    4.90638e+16
           43.2    8.73498e+20    7.19439e+14    4.89818e+16
           43.3    9.12634e+20    7.20438e+14    4.88998e+16
           43.4    9.53467e+20    7.21434e+14    4.88181e+16
           43.5    9.96068e+20    7.22427e+14    4.87365e+16
           43.6    1.04051e+21    7.23417e+14     4.8655e+16
           43.7    1.08687e+21    7.24405e+14    4.85738e+16
           43.8    1.13523e+21     7.2539e+14    4.84927e+16
           43.9    1.18568e+21    7.26372e+14    4.84118e+16
             44    1.23829e+21    7.27352e+14     4.8331e+16
           44.1    1.29316e+21    7.28329e+14    4.82504e+16
           44.2    1.35039e+21    7.29303e+14      4.817e+16
           44.3    1.41006e+21    7.30275e+14    4.80897e+16
           44.4    1.47229e+21    7.31244e+14    4.80096e+16
           44.5    1.53718e+21    7.32211e+14    4.79296e+16
           44.6    1.60483e+21    7.33174e+14    4.78499e+16
           44.7    1.67537e+21    7.34136e+14    4.77703e+16
           44.8     1.7489e+21    7.35094e+14    4.76908e+16
           44.9    1.82557e+21     7.3605e+14    4.76115e+16
             45    1.90548e+21    7.37004e+14    4.75324e+16
           45.1    1.98878e+21    7.37955e+14    4.74534e+16
           45.2     2.0756e+21    7.38903e+14    4.73746e+16
           45.3     2.1661e+21    7.39849e+14     4.7296e+16
           45.4    2.26041e+21    7.40792e+14    4.72175e+16
