Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H4CH3+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
          222.5    1.09511e+42    2.87288e+08    2.96497e+09
            223    1.17261e+42    2.87511e+08    2.95575e+09
          223.5    1.25544e+42    2.87733e+08    2.94657e+09
            224    1.34397e+42    2.87955e+08    2.93744e+09
          224.5    1.43856e+42    2.88175e+08    2.92836e+09
            225    1.53962e+42    2.88394e+08    2.91931e+09
          225.5    1.64758e+42    2.88612e+08    2.91031e+09
            226    1.76291e+42    2.88829e+08    2.90136e+09
          226.5    1.88608e+42    2.89046e+08    2.89245e+09
            227    2.01761e+42    2.89261e+08    2.88358e+09
          227.5    2.15806e+42    2.89475e+08    2.87475e+09
            228    2.30802e+42    2.89688e+08    2.86597e+09
          228.5     2.4681e+42      2.899e+08    2.85723e+09
            229    2.63898e+42    2.90111e+08    2.84853e+09
          229.5    2.82136e+42    2.90322e+08    2.83988e+09
            230    3.01599e+42    2.90531e+08    2.83126e+09
          230.5    3.22367e+42    2.90739e+08    2.82269e+09
            231    3.44526e+42    2.90946e+08    2.81416e+09
          231.5    3.68165e+42    2.91153e+08    2.80567e+09
            232    3.93381e+42    2.91358e+08    2.79721e+09
          232.5    4.20276e+42    2.91563e+08     2.7888e+09
            233    4.48959e+42    2.91766e+08    2.78043e+09
          233.5    4.79544e+42    2.91968e+08     2.7721e+09
            234    5.12155e+42     2.9217e+08    2.76381e+09
