! This thermodynamic database was obtained by fitting the thermodynamic properties
! extracted from the following file: C3Mech.THERM
! The thermodynamic properties are fitted in order to preserve not only the 
! continuity of each function at the intermediate temperature, but also the  continuity
! of the derivatives, from the 1st to the 3rd order
! The intermediate temperatures are chosen in order to minimize the fitting error.
! Last update: 7/18/2025

THERMO ALL
270.   1000.   3500. 
HE                      HE  1               G    200.00   3500.00 1800.00      1
-2.50957621e+04-1.78659935e+01 3.79355362e+00 2.59169670e-02-1.87654820e-05    3
 6.95638260e-09-1.04296608e-12-2.34412541e+04 1.03691756e+01                   4
CH3CO3H                 H   4O   3C   2     G    300.00   3500.00 1680.00      1
 1.15628163e+01 1.11169489e-02-4.33448281e-06 7.98650272e-10-5.79846584e-14    2
-4.55672762e+04-3.26001704e+01 2.38996353e+00 3.29570744e-02-2.38345949e-05    3
 8.53678999e-09-1.20949355e-12-4.24851977e+04 1.64123606e+01                   4
C2H3OO                  H   3O   2C   2     G    298.15   3500.00 1220.00      1
 6.28384692e+00 1.41101496e-02-7.21895038e-06 1.75305974e-09-1.58351281e-13    2
 1.00712941e+04-5.04351664e+00 6.41713113e-01 3.26089489e-02-2.99633758e-05    3
 1.41817075e-08-2.70520533e-12 1.14479747e+04 2.32984607e+01                   4
C2H3OOH                 H   4O   2C   2     G    300.00   3500.00 1530.00      1
 9.76912713e+00 1.12351986e-02-4.79197760e-06 9.78273113e-10-7.89356061e-14    2
-8.04443875e+03-2.41980878e+01 1.50756184e+00 3.28340621e-02-2.59673340e-05    3
 1.02050079e-08-1.58657201e-12-5.51639977e+03 1.91725662e+01                   4
C2H3OH                  H   4O   1C   2     G    300.00   3500.00 1190.00      1
 6.94993990e+00 1.03374107e-02-4.04256410e-06 7.68311349e-10-5.83603736e-14    2
